
Viridiplantae-Magnoliophyta-eudicotyledons-Fabaceae-Acacia_auriculiformis,4
Viridiplantae-Magnoliophyta-eudicotyledons-Solanaceae-Solanum_tuberosum,155
Metazoa-Bilateria-Lophotrochozoa-Platyhelminthes-Echinococcus_granulosus,22
Viruses-Kaposi_sarcoma-associated_herpesvirus,12
Metazoa-Bilateria-Deuterostoma-Chordata-Vertebrata-Pisces-Tetraodon_nigroviridis,22
Metazoa-Bilateria-Ecdysozoa-Nematoda-Panagrellus_redivivus,180
Metazoa-Bilateria-Deuterostoma-Chordata-Urochordata-Ciona_intestinalis,321
Metazoa-Bilateria-Ecdysozoa-Nematoda-Caenorhabditis_brenneri,126
Metazoa-Bilateria-Deuterostoma-Echinodermata-Strongylocentrotus_purpuratus,58
Metazoa-Bilateria-Ecdysozoa-Nematoda-Caenorhabditis_briggsae,144
Viridiplantae-Magnoliophyta-monocotyledons-Triticum_aestivum,21
Viruses-Pseudorabies_virus,10
Metazoa-Bilateria-Ecdysozoa-Arthropoda-Hexapoda-Anopheles_gambiae,57
Metazoa-Bilateria-Deuterostoma-Chordata-Vertebrata-Mammalia-Rodentia-Rattus_norvegicus,156
Metazoa-Bilateria-Deuterostoma-Chordata-Vertebrata-Pisces-Hippoglossus_hippoglossus,29
Viruses-JC_polyomavirus,1
Viridiplantae-Magnoliophyta-eudicotyledons-Rutaceae-Citrus_sinensis,18
Viruses-Mareks_disease_virus_type_1,11
Metazoa-Bilateria-Deuterostoma-Chordata-Vertebrata-Mammalia-Prototheria-Ornithorhynchus_anatinus,255
Viruses-Mareks_disease_virus_type_2,17
Metazoa-Bilateria-Deuterostoma-Chordata-Urochordata-Ciona_savignyi,25
Viridiplantae-Magnoliophyta-monocotyledons-Festuca_arundinacea,1
Viridiplantae-Coniferophyta-Picea_abies,29
Metazoa-Bilateria-Deuterostoma-Chordata-Vertebrata-Mammalia-Ruminantia-Ovis_aries,24
Viridiplantae-Magnoliophyta-eudicotyledons-Malvaceae-Gossypium_arboreum,1
Viridiplantae-Magnoliophyta-eudicotyledons-Malvaceae-Gossypium_raimondii,4
Viridiplantae-Magnoliophyta-eudicotyledons-Asteraceae-Helianthus_paradoxus,1
Metazoa-Bilateria-Ecdysozoa-Arthropoda-Hexapoda-Drosophila_willistoni,32
Metazoa-Bilateria-Deuterostoma-Hemichordata-Saccoglossus_kowalevskii,89
Metazoa-Bilateria-Ecdysozoa-Arthropoda-Hexapoda-Drosophila_grimshawi,22
Viruses-BK_polyomavirus,1
Viruses-Rhesus_lymphocryptovirus,34
Viridiplantae-Magnoliophyta-eudicotyledons-Vitaceae-Vitis_vinifera,100
Viruses-Bovine_herpesvirus_1,10
Metazoa-Bilateria-Lophotrochozoa-Platyhelminthes-Schistosoma_japonicum,43
Metazoa-Bilateria-Ecdysozoa-Arthropoda-Hexapoda-Drosophila_virilis,13
Metazoa-Bilateria-Ecdysozoa-Arthropoda-Crustacea-Marsupenaeus_japonicus,4
Viridiplantae-Magnoliophyta-eudicotyledons-Malvaceae-Gossypium_hirsutum,41
Viridiplantae-Magnoliophyta-eudicotyledons-Lamiales-Avicennia_marina,1
Viridiplantae-Magnoliophyta-eudicotyledons-Caricaceae-Carica_papaya,61
Metazoa-Bilateria-Deuterostoma-Chordata-Vertebrata-Mammalia-Primates-Atelidae-Ateles_geoffroyi,8
Viruses-Herpesvirus_saimiri_strain_A11,3
Metazoa-Bilateria-Deuterostoma-Chordata-Vertebrata-Pisces-Cyprinus_carpio,63
Metazoa-Bilateria-Deuterostoma-Xenoturbella_bocki,8
Viridiplantae-Magnoliophyta-eudicotyledons-Malvaceae-Gossypium_herbaceum,1
Viridiplantae-Magnoliophyta-eudicotyledons-Asteraceae-Cynara_cardunculus,36
Viridiplantae-Magnoliophyta-eudicotyledons-Fabaceae-Glycine_soja,5
